
============================================================
  🤖 Telegram Alert Bot Started
============================================================
  Asset: BTC/USD
  Interval: 15s
  Spread threshold: 0.2%
  Change alert: 2.0% in 5min
  Cooldown: 300s
  Status updates: Every 30s
============================================================
  Press Ctrl+C to stop
============================================================

  [21:20:14] $87,406.31 | Spread: 0.162% | Alerts: 3 📤
  [21:20:31] $87,398.70 | Spread: 0.178% | Alerts: 3
  [21:20:48] $87,397.84 | Spread: 0.175% | Alerts: 3 📤
  [21:21:04] $87,395.00 | Spread: 0.167% | Alerts: 3
  [21:21:21] $87,378.46 | Spread: 0.174% | Alerts: 3 📤
  [21:21:38] $87,371.07 | Spread: 0.181% | Alerts: 3
  [21:21:54] $87,365.85 | Spread: 0.172% | Alerts: 3 📤
  [21:22:11] $87,365.87 | Spread: 0.172% | Alerts: 3
  [21:22:28] $87,364.02 | Spread: 0.179% | Alerts: 3 📤
  [21:22:45] $87,382.98 | Spread: 0.204% | Alerts: 3  📊 Spread alert sent! (0.204%)
  [21:23:02] $87,406.23 | Spread: 0.202% | Alerts: 4 📤
  [21:23:19] $87,425.54 | Spread: 0.223% | Alerts: 4
  [21:23:35] $87,440.94 | Spread: 0.173% | Alerts: 4 📤
  [21:23:52] $87,400.93 | Spread: 0.195% | Alerts: 4
  [21:24:08] $87,398.54 | Spread: 0.195% | Alerts: 4 📤
  [21:24:25] $87,431.39 | Spread: 0.177% | Alerts: 4
  [21:24:41] $87,427.01 | Spread: 0.167% | Alerts: 4 📤
  [21:24:58] $87,423.02 | Spread: 0.176% | Alerts: 4
  [21:25:14] $87,410.51 | Spread: 0.159% | Alerts: 4 📤
  [21:25:31] $87,386.43 | Spread: 0.171% | Alerts: 4
  [21:25:48] $87,383.95 | Spread: 0.177% | Alerts: 4 📤
  [21:26:04] $87,396.98 | Spread: 0.172% | Alerts: 4
  [21:26:21] $87,394.75 | Spread: 0.177% | Alerts: 4 📤
  [21:26:38] $87,392.98 | Spread: 0.181% | Alerts: 4
  [21:26:54] $87,393.98 | Spread: 0.178% | Alerts: 4 📤
  [21:27:11] $87,378.65 | Spread: 0.178% | Alerts: 4
  [21:27:28] $87,378.65 | Spread: 0.179% | Alerts: 4 📤
  [21:27:44] $87,388.06 | Spread: 0.174% | Alerts: 4
